id;season;round;circuitId;country;constructorId;driverId;position;points;grid;status;differenceGridPosition
242;2000;12;hungaroring;Hungary;arrows;verstappen;13;0.0;20;+2 Laps;7
243;2000;12;hungaroring;Hungary;bar;villeneuve;12;0.0;16;+2 Laps;4
244;2000;12;hungaroring;Hungary;bar;zonta;14;0.0;18;+2 Laps;4
245;2000;12;hungaroring;Hungary;benetton;fisichella;20;0.0;7;Brakes;-13
246;2000;12;hungaroring;Hungary;benetton;wurz;11;0.0;11;+1 Lap;0
247;2000;12;hungaroring;Hungary;ferrari;barrichello;4;3.0;5;Finished;1
248;2000;12;hungaroring;Hungary;ferrari;michael_schumacher;2;6.0;1;Finished;-1
249;2000;12;hungaroring;Hungary;jaguar;herbert;18;0.0;17;Gearbox;-1
250;2000;12;hungaroring;Hungary;jaguar;irvine;8;0.0;10;+1 Lap;2
251;2000;12;hungaroring;Hungary;jordan;frentzen;6;1.0;6;Finished;0
252;2000;12;hungaroring;Hungary;jordan;trulli;7;0.0;12;+1 Lap;5
253;2000;12;hungaroring;Hungary;mclaren;coulthard;3;4.0;2;Finished;-1
254;2000;12;hungaroring;Hungary;mclaren;hakkinen;1;10.0;3;Finished;2
255;2000;12;hungaroring;Hungary;minardi;gene;15;0.0;21;+3 Laps;6
256;2000;12;hungaroring;Hungary;minardi;mazzacane;17;0.0;22;Engine;5
257;2000;12;hungaroring;Hungary;prost;alesi;22;0.0;14;Suspension;-8
258;2000;12;hungaroring;Hungary;prost;heidfeld;21;0.0;19;Electrical;-2
259;2000;12;hungaroring;Hungary;sauber;diniz;19;0.0;13;Transmission;-6
260;2000;12;hungaroring;Hungary;sauber;salo;10;0.0;9;+1 Lap;-1
261;2000;12;hungaroring;Hungary;williams;button;9;0.0;8;+1 Lap;-1
262;2000;12;hungaroring;Hungary;williams;ralf_schumacher;5;2.0;4;Finished;-1
263;2000;13;spa;Belgium;arrows;rosa;16;0.0;16;+2 Laps;0
264;2000;13;spa;Belgium;arrows;verstappen;15;0.0;20;+1 Lap;5
265;2000;13;spa;Belgium;bar;villeneuve;7;0.0;7;Finished;0
266;2000;13;spa;Belgium;bar;zonta;12;0.0;13;+1 Lap;1
267;2000;13;spa;Belgium;benetton;fisichella;21;0.0;11;Electrical;-10
268;2000;13;spa;Belgium;benetton;wurz;13;0.0;19;+1 Lap;6
269;2000;13;spa;Belgium;ferrari;barrichello;18;0.0;10;Fuel pressure;-8
270;2000;13;spa;Belgium;ferrari;michael_schumacher;2;6.0;4;Finished;2
271;2000;13;spa;Belgium;jaguar;herbert;8;0.0;9;Finished;1
272;2000;13;spa;Belgium;jaguar;irvine;10;0.0;12;Finished;2
273;2000;13;spa;Belgium;jordan;frentzen;6;1.0;8;Finished;2
274;2000;13;spa;Belgium;jordan;trulli;22;0.0;2;Collision;-20
275;2000;13;spa;Belgium;mclaren;coulthard;4;3.0;5;Finished;1
276;2000;13;spa;Belgium;mclaren;hakkinen;1;10.0;1;Finished;0
277;2000;13;spa;Belgium;minardi;gene;14;0.0;21;+1 Lap;7
278;2000;13;spa;Belgium;minardi;mazzacane;17;0.0;22;+2 Laps;5
279;2000;13;spa;Belgium;prost;alesi;19;0.0;17;Fuel pressure;-2
280;2000;13;spa;Belgium;prost;heidfeld;20;0.0;14;Engine;-6
281;2000;13;spa;Belgium;sauber;diniz;11;0.0;15;Finished;4
282;2000;13;spa;Belgium;sauber;salo;9;0.0;18;Finished;9
283;2000;13;spa;Belgium;williams;button;5;2.0;3;Finished;-2
284;2000;13;spa;Belgium;williams;ralf_schumacher;3;4.0;6;Finished;3
285;2000;14;monza;Italy;arrows;rosa;21;0.0;10;Collision;-11
286;2000;14;monza;Italy;arrows;verstappen;4;3.0;11;Finished;7
287;2000;14;monza;Italy;bar;villeneuve;14;0.0;4;Electrical;-10
288;2000;14;monza;Italy;bar;zonta;6;1.0;17;Finished;11
289;2000;14;monza;Italy;benetton;fisichella;11;0.0;9;+1 Lap;-2
290;2000;14;monza;Italy;benetton;wurz;5;2.0;13;Finished;8
291;2000;14;monza;Italy;ferrari;barrichello;17;0.0;2;Collision;-15
292;2000;14;monza;Italy;ferrari;michael_schumacher;1;10.0;1;Finished;0
293;2000;14;monza;Italy;jaguar;herbert;16;0.0;18;Collision;2
294;2000;14;monza;Italy;jaguar;irvine;22;0.0;14;Spun off;-8
295;2000;14;monza;Italy;jordan;frentzen;20;0.0;8;Collision;-12
296;2000;14;monza;Italy;jordan;trulli;19;0.0;6;Collision;-13
297;2000;14;monza;Italy;mclaren;coulthard;18;0.0;5;Collision;-13
298;2000;14;monza;Italy;mclaren;hakkinen;2;6.0;3;Finished;1
299;2000;14;monza;Italy;minardi;gene;9;0.0;21;+1 Lap;12
300;2000;14;monza;Italy;minardi;mazzacane;10;0.0;22;+1 Lap;12
301;2000;14;monza;Italy;prost;alesi;12;0.0;19;+2 Laps;7
302;2000;14;monza;Italy;prost;heidfeld;13;0.0;20;Spun off;7
303;2000;14;monza;Italy;sauber;diniz;8;0.0;16;+1 Lap;8
304;2000;14;monza;Italy;sauber;salo;7;0.0;15;+1 Lap;8
305;2000;14;monza;Italy;williams;button;15;0.0;12;Spun off;-3
306;2000;14;monza;Italy;williams;ralf_schumacher;3;4.0;7;Finished;4
307;2000;15;indianapolis;USA;arrows;rosa;16;0.0;18;Gearbox;2
308;2000;15;indianapolis;USA;arrows;verstappen;18;0.0;13;Brakes;-5
309;2000;15;indianapolis;USA;bar;villeneuve;4;3.0;8;Finished;4
310;2000;15;indianapolis;USA;bar;zonta;6;1.0;12;Finished;6
311;2000;15;indianapolis;USA;benetton;fisichella;17;0.0;15;Engine;-2
312;2000;15;indianapolis;USA;benetton;wurz;10;0.0;11;+1 Lap;1
313;2000;15;indianapolis;USA;ferrari;barrichello;2;6.0;4;Finished;2
314;2000;15;indianapolis;USA;ferrari;michael_schumacher;1;10.0;1;Finished;0
315;2000;15;indianapolis;USA;jaguar;herbert;11;0.0;19;+1 Lap;8
316;2000;15;indianapolis;USA;jaguar;irvine;7;0.0;17;Finished;10
317;2000;15;indianapolis;USA;jordan;frentzen;3;4.0;7;Finished;4
318;2000;15;indianapolis;USA;jordan;trulli;22;0.0;5;Collision;-17
319;2000;15;indianapolis;USA;mclaren;coulthard;5;2.0;2;Finished;-3
320;2000;15;indianapolis;USA;mclaren;hakkinen;19;0.0;3;Engine;-16
321;2000;15;indianapolis;USA;minardi;gene;12;0.0;22;+1 Lap;10
322;2000;15;indianapolis;USA;minardi;mazzacane;14;0.0;21;Engine;7
323;2000;15;indianapolis;USA;prost;alesi;13;0.0;20;Engine;7
324;2000;15;indianapolis;USA;prost;heidfeld;9;0.0;16;+1 Lap;7
325;2000;15;indianapolis;USA;sauber;diniz;8;0.0;9;+1 Lap;1
326;2000;15;indianapolis;USA;sauber;salo;20;0.0;14;Spun off;-6
327;2000;15;indianapolis;USA;williams;button;21;0.0;6;Engine;-15
328;2000;15;indianapolis;USA;williams;ralf_schumacher;15;0.0;10;Engine;-5
329;2000;16;suzuka;Japan;arrows;rosa;12;0.0;13;+1 Lap;1
330;2000;16;suzuka;Japan;arrows;verstappen;22;0.0;14;Electrical;-8
331;2000;16;suzuka;Japan;bar;villeneuve;6;1.0;9;+1 Lap;3
332;2000;16;suzuka;Japan;bar;zonta;9;0.0;18;+1 Lap;9
